"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2016",20.5767999696081,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1993",31.8011525125954,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1994",33.8285594546494,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1995",34.7234607571822,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1996",35.8343950133252,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1997",37.8396074770871,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.5761282051164,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1999",38.9031024586734,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2000",42.0142216659345,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2001",42.9191092459869,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2002",41.6287818010806,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2003",41.8169676971425,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2004",43.9251307189084,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2005",45.4140534786122,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2006",47.2466423435202,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2007",48.172384639555,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2008",48.8248221152974,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2009",41.8548144134358,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2010",47.7576359096203,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2011",51.154117778086,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2012",51.1785012313079,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2013",50.625120789651,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2014",50.1169562048263,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2015",49.3382548303838,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2016",48.5756846289351,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1993",52.9049959905429,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1994",54.8073406106081,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1995",56.2641961032662,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1996",58.0203848015116,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1997",60.902358975732,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1998",60.5347776108893,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1999",60.6069310248626,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2000",69.6827399089776,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2001",67.964880914325,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2002",65.2538517924041,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2003",63.679044325004,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2004",66.0121279012141,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2005",70.2462217485879,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2006",72.7625122442923,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2007",74.1666421724765,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2008",80.2078278152436,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2009",66.5720368236699,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2010",74.14760859514,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2011",80.7963607521708,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2012",80.3415397228249,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2013",78.5264966401955,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2014",78.9822068454526,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2015",76.3872643576431,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2016",78.2354105104266,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1993",29.1081967827564,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1994",31.6099559075321,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1995",32.9636937980162,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1996",33.1616335246106,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1997",36.2024024010779,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.0516464869417,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1999",38.2534647846521,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2000",38.5558431601588,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2001",36.3040095479156,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2002",35.6481644374521,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2003",32.9739780210672,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2004",32.8644764552144,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2005",32.9020322315154,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2006",32.649050784309,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2007",32.0538442669243,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2008",32.6285831189452,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2009",29.9585575059154,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2010",31.040702308697,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2011",31.8203468535221,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2012",32.2425940003317,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2013",31.8991697713283,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2014",32.6420699203669,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2015",34.3149583434023,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2016",33.8610786779789,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1993",38.8125359505505,"E"
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1994",38.2342801365256,"E"
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1995",43.2763517771655,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1996",42.9643215407365,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1997",44.3903777934718,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1998",42.3643157082551,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","1999",43.2388970533732,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2000",49.9553490796798,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2001",50.1559443005111,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2002",46.3305217203237,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2003",48.2454810636058,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2004",56.431120090335,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2005",59.4847335388564,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2006",62.1529584259566,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2007",63.6782481196559,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2008",60.7908510312007,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2009",54.4518147241498,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2010",62.4859061276726,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2011",67.040951691926,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2012",70.8826700109956,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2013",70.3640354339119,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2014",75.6207076036768,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2015",74.6168853659096,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2016",71.4791907144509,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1993",29.0387156246129,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1994",30.9285944300639,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1995",31.9026457360928,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1996",31.4038823862481,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1997",33.4056013518683,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1998",34.1125582027396,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","1999",33.3487612672171,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2000",38.1366854891628,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2001",38.4140819246082,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2002",38.852495620333,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2003",37.0432985323193,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2004",38.2793303141397,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2005",41.9476153409526,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2006",46.6366891837203,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2007",48.5853161257883,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2008",50.6524324898078,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2009",42.6289658299793,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2010",43.5770492484191,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2011",47.4256465609762,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2012",48.610476322948,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2013",48.2213220971567,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2014",47.6507769059402,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2015",48.6300540046819,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2016",46.7428482622986,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1993",26.7839641573715,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1994",28.3925993674861,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1995",28.3087601091843,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1996",29.402544987902,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1997",30.4439250227874,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1998",29.5283629662832,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","1999",28.6354754325696,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2000",32.8637809472157,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2001",30.5127637801809,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2002",30.1644599490861,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2003",30.7349636570916,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2004",32.3448267173938,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2005",36.3058407767462,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2006",38.909292815954,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2007",39.0314958946288,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2008",41.2843281085116,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2009",34.0423775908268,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2010",37.0500098329462,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2011",39.6791886786735,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2012",40.3622218795545,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2013",39.0762574576279,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2014",37.6312851322155,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2015",35.9755895640656,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2016",36.0880478856922,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1993",19.1125443145592,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1994",20.1659170058998,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1995",21.0232025170056,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1996",21.2736750818117,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1997",22.5103014673064,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1998",23.380274814039,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","1999",23.6843852136939,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2000",27.2662714690058,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2001",26.6934728903914,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2002",25.5409745004028,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2003",24.6858645485955,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2004",25.4561715567725,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2005",26.947655734595,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2006",28.16836935943,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2007",28.5674990728149,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2008",29.2776980294924,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2009",25.6269036398058,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2010",28.0794912416196,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2011",30.369238945981,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2012",30.499031981938,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2013",30.3993172078638,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2014",30.8121120215465,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2015",31.1590715564548,
"FRA","TRADEGOODSERV","IMP","PC_GDP","A","2016",30.852605198715,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1993",20.2632946672835,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1994",20.9471728020551,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1995",21.5873979341395,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1996",22.1455932715028,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1997",24.282385335135,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1998",25.1780661431082,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","1999",26.4066172043428,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2000",30.678349430323,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2001",30.2181317720272,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2002",28.3423107018725,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2003",29.0376067680426,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2004",30.5128352456553,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2005",32.8591405884692,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2006",36.0168212387006,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2007",36.5516592986738,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2008",37.7256144732553,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2009",33.1088059597748,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2010",37.3031508345032,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2011",40.148984986412,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2012",40.2069347359679,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2013",39.6601988368577,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2014",39.0008300796262,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2015",39.3254862566007,
"DEU","TRADEGOODSERV","IMP","PC_GDP","A","2016",38.6963831131131,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1993",22.9781312679061,"E"
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1994",21.7175127239839,"E"
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1995",22.6825973088156,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1996",23.2092761888839,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1997",23.0519634923786,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1998",25.971696865251,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","1999",28.1215195931717,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2000",34.6972966129139,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2001",33.3512249681772,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2002",30.2361418143019,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2003",29.6454950532535,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2004",29.1903270440997,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2005",29.5886336995675,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2006",31.6762298472251,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2007",35.0041044732457,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2008",35.9681465798912,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2009",28.7616598450085,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2010",29.3991835466483,"B"
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2011",31.3441894187165,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2012",33.3172760368445,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2013",32.7180263883395,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2014",34.0189519010602,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2015",33.1992148663397,
"GRC","TRADEGOODSERV","IMP","PC_GDP","A","2016",32.7800661068803,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1993",30.3692583539109,"E"
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1994",31.059457424076,"E"
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1995",39.196224849794,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1996",41.4094173164446,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1997",46.9432999492901,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1998",54.4997145406537,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","1999",58.3821193918374,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2000",70.5487114580459,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2001",66.167747926773,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2002",60.1831355869059,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2003",60.2730161806239,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2004",63.6133144524978,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2005",64.9505122617302,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2006",74.9985883953804,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2007",77.4045849464283,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2008",78.9195794670057,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2009",70.3684527450478,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2010",76.0012788325149,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2011",80.0993042436607,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2012",79.3488084696012,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2013",78.5912775181474,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2014",80.9529866950207,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2015",79.6436062498567,
"HUN","TRADEGOODSERV","IMP","PC_GDP","A","2016",77.8159883141343,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1993",29.2270366044788,"E"
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1994",30.218977566138,"E"
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1995",31.5018441896814,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1996",35.2487843590604,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1997",35.0217094077718,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.1617429514791,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","1999",37.0190024374545,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2000",39.1111420283379,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2001",37.9280049152395,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2002",34.0134259264074,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2003",35.6246905599008,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2004",37.703974895101,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2005",42.1933814300584,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2006",47.8119599776445,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2007",42.0982317357343,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2008",42.788581836822,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2009",39.8295529167545,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2010",42.1067527054004,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2011",47.0578135186479,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2012",49.2502396344,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2013",45.8132660529384,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2014",45.4728256474238,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2015",44.6710044914837,
"ISL","TRADEGOODSERV","IMP","PC_GDP","A","2016",41.3936899020093,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1993",53.172037875041,"E"
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1994",58.4588617490524,"E"
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1995",62.5082863819959,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1996",63.8853898215716,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1997",65.1686974392598,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1998",73.5440273585594,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","1999",73.5362633880711,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2000",80.6505009178536,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2001",79.7015601361948,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2002",73.2907282301855,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2003",65.7004044150908,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2004",66.1611259811422,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2005",68.6962023194441,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2006",70.9573935925598,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2007",72.5112590216405,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2008",75.5101839530523,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2009",79.7620315793197,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2010",86.4024099316998,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2011",84.964742308158,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2012",87.0273838936918,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2013",84.8574430962797,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2014",91.9648488808836,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2015",93.1716019579151,
"IRL","TRADEGOODSERV","IMP","PC_GDP","A","2016",105.226070701664,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1993",17.3601331428012,"E"
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1994",18.5839403017709,"E"
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1995",21.0120646415781,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1996",19.1740161111386,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.4387154276353,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1998",21.0297859404713,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.4200491086453,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2000",24.7778577250385,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2001",24.3857929628241,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2002",23.6504569605133,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2003",22.846651865801,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2004",23.4205019696086,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2005",24.6999183803436,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2006",26.9946907515411,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2007",27.7004133784664,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2008",27.6301011040243,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2009",23.0196000534853,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2010",26.932138522965,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2011",28.2730589939396,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2012",27.2754780086443,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2013",26.2343363170751,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2014",26.2132869642331,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2015",26.7021937892476,
"ITA","TRADEGOODSERV","IMP","PC_GDP","A","2016",26.0397120675783,
"JPN","TRADEGOODSERV","IMP","PC_GDP","A","1993",6.93602346903134,
"JPN","TRADEGOODSERV","IMP","PC_GDP","A","1994",7.10082213161643,
